param nG:= 1;
param nV := 1410;
param nF := 911;
param : M : visible:=
0 0 1
0 356 1
0 908 1
0 909 1
0 910 1
1 0 1
1 1 1
1 2 1
1 356 1
1 378 1
1 379 1
1 908 1
1 909 1
1 910 1
2 1 1
2 2 1
2 356 1
2 378 1
2 379 1
2 908 1
2 909 1
2 910 1
3 1 1
3 2 1
3 39 1
3 40 1
3 44 1
3 355 1
3 356 1
3 374 1
3 375 1
3 376 1
3 377 1
3 378 1
3 379 1
3 385 1
3 386 1
3 893 1
3 895 1
3 896 1
3 898 1
3 899 1
3 900 1
3 901 1
3 902 1
3 903 1
3 904 1
3 905 1
3 906 1
3 907 1
3 908 1
3 909 1
3 910 1
4 2 1
4 3 1
4 39 1
4 40 1
4 42 1
4 43 1
4 44 1
4 354 1
4 355 1
4 374 1
4 375 1
4 376 1
4 377 1
4 378 1
4 379 1
4 385 1
4 386 1
4 389 1
4 893 1
4 894 1
4 895 1
4 896 1
4 897 1
4 898 1
4 899 1
4 900 1
4 901 1
4 902 1
4 903 1
4 904 1
4 905 1
4 906 1
4 907 1
4 908 1
4 909 1
4 910 1
5 3 1
5 39 1
5 40 1
5 374 1
5 376 1
5 385 1
5 386 1
5 389 1
5 893 1
5 894 1
5 895 1
5 896 1
5 897 1
6 3 1
6 4 1
6 6 1
6 39 1
6 43 1
6 44 1
6 354 1
6 355 1
6 375 1
6 377 1
6 385 1
6 386 1
6 389 1
6 893 1
6 894 1
6 895 1
6 896 1
6 899 1
6 900 1
6 901 1
6 902 1
6 904 1
7 4 1
7 5 1
7 6 1
7 385 1
7 389 1
7 893 1
8 4 1
8 5 1
9 4 1
9 5 1
10 4 1
10 5 1
10 6 1
10 385 1
10 389 1
10 893 1
11 2 1
11 3 1
11 4 1
11 6 1
11 7 1
11 39 1
11 355 1
11 377 1
11 378 1
11 379 1
11 380 1
11 381 1
11 385 1
11 386 1
11 389 1
11 803 1
11 893 1
11 894 1
11 895 1
11 896 1
11 898 1
11 899 1
11 902 1
11 903 1
11 904 1
11 905 1
11 906 1
11 907 1
11 908 1
11 909 1
11 910 1
12 7 1
12 8 1
12 39 1
12 379 1
12 380 1
12 381 1
12 382 1
12 383 1
12 803 1
12 893 1
12 896 1
12 899 1
12 902 1
12 904 1
12 906 1
12 909 1
13 8 1
13 380 1
13 381 1
13 382 1
13 383 1
13 803 1
14 8 1
14 9 1
14 380 1
14 381 1
14 382 1
14 383 1
14 384 1
14 803 1
15 9 1
15 380 1
15 382 1
15 383 1
15 384 1
15 803 1
16 9 1
16 10 1
16 38 1
16 380 1
16 382 1
16 383 1
16 384 1
16 387 1
16 388 1
16 788 1
16 803 1
17 10 1
17 34 1
17 35 1
17 36 1
17 37 1
17 38 1
17 380 1
17 382 1
17 384 1
17 387 1
17 388 1
17 390 1
17 391 1
17 773 1
17 787 1
17 788 1
18 10 1
18 11 1
18 34 1
18 35 1
18 36 1
18 387 1
18 388 1
18 390 1
18 391 1
18 392 1
18 762 1
18 773 1
18 787 1
18 788 1
19 11 1
19 34 1
19 35 1
19 390 1
19 391 1
19 392 1
19 762 1
20 11 1
20 12 1
20 33 1
20 34 1
20 387 1
20 390 1
20 391 1
20 392 1
20 393 1
20 399 1
20 758 1
20 762 1
21 12 1
21 13 1
21 26 1
21 27 1
21 31 1
21 33 1
21 390 1
21 392 1
21 393 1
21 394 1
21 399 1
21 400 1
21 758 1
21 759 1
21 760 1
21 761 1
21 772 1
21 795 1
21 799 1
21 826 1
21 828 1
22 13 1
22 14 1
22 24 1
22 26 1
22 393 1
22 394 1
22 395 1
22 396 1
22 397 1
22 398 1
22 759 1
22 795 1
22 799 1
22 825 1
22 826 1
22 827 1
